Test,Statistic,p-value,Result,Error
jarque_bera,1.2742333103663694,0.5288149838985536,Pass,
shapiro_wilk,0.9998173023812553,0.6000508529679578,Pass,
dagostino,1.3060449701982508,0.5204702833318,Pass,
ljung_box,,,,0
levene,1.4138914402411153,0.23443970431097158,Pass,
breusch_pagan,0.05297495611733538,0.8179651969341378,Pass,
adf,-99.9579339785078,0.0,Pass,
ks_normal,0.5053000000000001,0.0,Fail,
