Model,RMSE,MAE,Coverage,Directional_Accuracy,Bias,Information_Ratio,RMSE_Rank,MAE_Rank,Bias_Rank,Information_Ratio_Rank,Coverage_Rank,Directional_Accuracy_Rank,Overall_Rank
Vasicek,0.0018748971119899962,0.0014991509624667162,0.9597069597069597,0.5439560439560439,1.7636501997602272e-05,1.0000442454738447,1.0,1.0,2.0,2.0,1.0,2.0,1.5
CIR,0.0018770586189324546,0.0015035677016539716,0.2875457875457875,0.575091575091575,1.7340622732480945e-05,1.000042674801751,2.0,2.0,1.0,1.0,2.0,1.0,1.5
